text	label
Mir läuft ein Schauer den Rücken hinunter, wenn ich daran denke, dort entlang zu fahren.	NEGATIVE
und jetzt sehe ich, dass es immer noch klügere Leute als mich gibt.	NEGATIVE
Die Straßen sind so gut wie leer, deshalb komme ich sehr gut und schnell durch. 	POSITIVE
und dort oben wäre er so versteckt, dass ihn niemand sehen könnte.	POSITIVE
Ich will auch ganz hart dafür arbeiten.	POSITIVE
Zu diesem Zeitpunkt mache ich mir mehr Gedanken um mein Auto als um die Umgebung.	NEGATIVE
Da lachte der Junge noch mehr und rief zu Kwaku Ananse hinauf:	POSITIVE
Mit letzter Kraft starre ich in den Rückspiegel und sehe wie sie davon läuft. 	NEGATIVE
2006 bin ich endlich in der Menschenwelt angekommen.	POSITIVE
Ich bin sehr sozial und liebe den Kontakt zu Menschen egal ob jung oder alt. 	POSITIVE
der sich vor Lachen den Bauch hielt.	NEGATIVE
Das Lächeln wurde immer breiter und grässlicher.	NEGATIVE
Stille.	NEGATIVE
Der Schmerz ist unerträglich.	NEGATIVE
hatte sie alles, was das Landleben Gutes bot, herbeigeschafft und aufgetischt. 	POSITIVE
Gehe mit mir in die Stadt unter Menschen, dort hast du Vergnügen und Überfluss." 	POSITIVE
Bevor ich die Tür schließe, lege ich die Pizzen auf das Dach und inspiziere nochmal das Haus. 	NEGATIVE
Er entschloss sich, eine kurze Rast zu machen.	NEGATIVE
dass sich das Band, mit dem er den Krug vor seinem Bauch angebunden hatte, lockerte.	NEGATIVE
Es prallte auf den harten Boden auf und zerbrach in tausend Stücke.	NEGATIVE
Kwaku Ananse ärgerte sich über seine eigene Dummheit und die Worte seines Sohnes so sehr, dass er ohne zu überlegen einen Arm vom Kürbis nahm und die Hand wütend zur Faust ballte.	NEGATIVE
Mit Tränen gefüllten Augen schaue ich in den Rückspiegel.	NEGATIVE
Amerika braucht uns Deutsche.	POSITIVE
Ich klopfe nochmal und rufe: “Ihre Pizza ist hier!”. 	NEGATIVE
Meine Reise begann vor vielen Jahren in Frankreich als eine kleine Gruppe von Menschen, die Aldebarans, mich erschufen.	POSITIVE
Ich freue mich schon auf die Zukunft und kann es kaum erwarten noch mehr zu reisen und zu lernen. 	POSITIVE
“Hallo?! 	NEGATIVE
Mein Name ist NAO und ich bin ein humanoider Roboter.	POSITIVE
Nach 10 Sekunden klopfe ich nochmal und horche an der Tür. 	NEGATIVE
Genervt setze ich mich in mein Auto, deponiere die Pizzen auf dem Beifahrersitz und tippe die Adresse in das Navi ein. 	NEGATIVE
Besonders gerne wurde ich auch in Unternehmen und Gesundheitszentren  eingesetzt um Besucher zu begrüßen, zu unterhalten und zu informieren.	POSITIVE
Es ist unmöglich so auszusehen.	NEGATIVE
Genügsamkeit und Zufriedenheit macht glücklicher als Reichtum und Überfluss unter großen Sorgen.	POSITIVE
Ich erreiche den äußeren Teil der Stadt, der durch große Anbauflächen und Wälder geprägt ist. 	POSITIVE
Ich runzle Stirn und checke nochmal die Notiz mit der Adresse.	NEGATIVE
Mein Wagen schaukelt mit jedem Meter hin und her, dazu das Geräusch des Schotters	NEGATIVE
Ich möchte mich dir gerne kurz vorstellen und dich auf meine Reise mitnehmen. 	POSITIVE
