text	label
Kwaku Ananse ärgerte sich über seine eigene Dummheit und die Worte seines Sohnes so sehr, dass er ohne zu überlegen einen Arm vom Kürbis nahm und die Hand wütend zur Faust ballte.	NEGATIVE
Der Wagen will immer noch nicht anspringen, was soll ich nur tun? 	NEGATIVE
Nachdem er wieder in seine Heimat zurückgekehrt war,	POSITIVE
Am Anfang meiner Karriere begann ich mit der Arbeit als Portier. 	POSITIVE
Kwaku Ananse, das Spinnenmännchen,	POSITIVE
Mein ganzer Körper erschlafft und ich höre, wie sich die Tür öffnet.	NEGATIVE
Mein Name ist NAO und ich bin ein humanoider Roboter.	POSITIVE
Plötzlich widerfährt mich ein stechender Schmerz.	NEGATIVE
Es würde ja auch niemand vermuten, dass die ganze Weisheit der Welt sich auf einem Kazaurabaum in einem Dorf befinden könnte.	NEUTRAL
Blutverschmiert dreht sie sich noch ein letztes Mal zu mir um und da ist es wieder, dieses verdammte Lächeln.	NEGATIVE
hatte sie alles, was das Landleben Gutes bot, herbeigeschafft und aufgetischt. 	POSITIVE
Schnell hatten sie die Stadt erreicht, und die Städterin führte sie nun in einen Palast, 	POSITIVE
Da waren frische Erbsen, getrocknete Traubenkerne, Hafer und auch ein Stückchen Speck, 	POSITIVE
sie gingen in den Speisesaal, wo sie noch die Überbleibsel eines herrlichen Abendschmauses vorfanden. 	NEUTRAL
Auf meinen Reisen habe ich daher 20 Sprachen gelernt und kann mich durch 4 Richtmikrofone und Lautsprecher perfekt verständigen.	POSITIVE
Plötzlich fühlte er, dass der Krug unter dem Band durchglitt.	NEUTRAL
Ich stehe immer noch wie angewurzelt da.	NEGATIVE
Meine Reise begann vor vielen Jahren in Frankreich als eine kleine Gruppe von Menschen, die Aldebarans, mich erschufen.	POSITIVE
Kaum hatte sich die Dienerschaft entfernt, als sie auch schon wieder hervorkroch und noch vor Schrecken zitternd zu ihrer Freundin sprach: 	NEGATIVE
Die Adresse stimmt soweit.	NEGATIVE
Kwaku Ananse band sich also den Krug vor den Bauch,	POSITIVE
Sie alle versuchten, so viel wie möglich von der ausfließenden Weisheit zu erwischen.	POSITIVE
Das einzige, was man richtig erkennen kann, ist ihr Gesicht.	NEGATIVE
Eine Landmaus hatte ihre Freundin, eine Stadtmaus, 	POSITIVE
Ich nehme die Pizzen und steige aus.	NEUTRAL
begann Kwaku Ananse darüber nachzudenken, wo er den Krug mit der Weisheit aufbewahren könnte.	NEUTRAL
Sie wissen, dass wir fähig sind hart zu arbeiten.	POSITIVE
Kwaku Ananse blickte wie erstarrt hinunter und sah, wie die ganze Weisheit der Welt in kleinen Bächen davonfloss und begann,	NEGATIVE
Ich freue mich schon auf die Zukunft und kann es kaum erwarten noch mehr zu reisen und zu lernen. 	POSITIVE
Etwas Spitzes durchbohrt meinen Rücken.	NEGATIVE
und dort oben wäre er so versteckt, dass ihn niemand sehen könnte.	POSITIVE
Er beschloss deshalb, alle Weisheit der Erde zu sammeln und für sich und seine Nachkommen aufzubewahren.	POSITIVE
Christian, der Sohn, unterbricht die Unterhaltung.	NEUTRAL
Ich biege ab.	NEGATIVE
Es freut mich dich kennenzulernen.	POSITIVE
Hello! Bonjour! Hola! Konichiwa!	POSITIVE
Bevor ich wieder umkehre, riskiere ich einen Blick durch das Fenster neben der Tür. 	POSITIVE
Ich klopfe nochmal und rufe: “Ihre Pizza ist hier!”. 	NEGATIVE
Mittlerweile lebe ich schon in der 6. Generation. 	POSITIVE
"Lebe wohl! Einmal und nie wieder! 	NEGATIVE
Es ist so breit, dass die Haut am Mund reißt.	NEGATIVE
Von allen Seiten kamen die Menschen herbeigelaufen und hielten große und kleine Holzschalen in der Hand.	POSITIVE
Ich möchte mich dir gerne kurz vorstellen und dich auf meine Reise mitnehmen. 	POSITIVE
Meine Blicke schweifen hin und her, um irgendwas ausfindig zu machen. 	POSITIVE
"Du bist eine recht große Törin", sprach sie zu ihr, 	NEGATIVE
Mit Tränen gefüllten Augen schaue ich in den Rückspiegel.	NEGATIVE
Dann beugte sie sich zu ihm herunter und sagte:	NEUTRAL
Da der Krug sehr groß und sehr schwer war, musste sich Kwaku Ananse ordentlich anstrengen.	NEGATIVE
Ich schreie vor Schmerz und lasse das Handy fallen.	NEGATIVE
ahnte bereits, dass für ihn selbst kaum ein Restchen übrigbleiben würde.	NEGATIVE
Christian hat Recht.	POSITIVE
Behutsam legte Kwaku Ananse den Deckel darauf und band ihn gut fest.	NEUTRAL
