text	label
Ich möchte mich dir gerne kurz vorstellen und dich auf meine Reise mitnehmen.	bereit
Lass uns das Wagnis angehen.	vertrauend
Ihre Haut… kreidebleich!	erschrocken
Bevor ich die Tür schließe, lege ich die Pizzen auf das Dach und inspiziere nochmal das Haus. 	ängstlich
Da wurde er zornig und rief hinunter:	verärgert
Plötzlich blickte er hinunter zum Fuß des Baums und sah dort seinen jüngsten Sohn,	überrascht
An manchen Stellen sind so tiefe Löcher, dass die Frontschürze meines Autos am Boden schleift.	besorgt
Das einzige, was man richtig erkennen kann, ist ihr Gesicht.	erschrocken
Auf meinen Reisen habe ich daher 20 Sprachen gelernt und kann mich durch 4 Richtmikrofone und Lautsprecher perfekt verständigen.	begeistert
Ich schreie vor Schmerz und lasse das Handy fallen.	erschrocken
langsam in der Erde zu versickern.	traurig
Nach 10 Sekunden klopfe ich nochmal und horche an der Tür.	verwirrt
Sie wissen, dass wir fähig sind hart zu arbeiten.	vertrauend
Ich lehne mich zurück und schließe meine Augen.	ängstlich
Besonders gerne wurde ich auch in Unternehmen und Gesundheitszentren  eingesetzt um Besucher zu begrüßen, zu unterhalten und zu informieren.	gelassen
Ich bin sehr sozial und liebe den Kontakt zu Menschen egal ob jung oder alt.	vertrauend
Das Lächeln wurde immer breiter und grässlicher.	erschrocken
Ich seufze und schaue auf mein Handy „puh schon 23 Uhr, eigentlich hätte ich jetzt Feierabend“.	gereizt
Ich lasse die Pizzen fallen und renne sofort zum Auto.	erschrocken
Kwaku Ananse blickte wie erstarrt hinunter und sah, wie die ganze Weisheit der Welt in kleinen Bächen davonfloss und begann,	betrübt
"Du bist eine recht große Törin", sprach sie zu ihr, 	angewidert
Ich nehme die Pizzen und steige aus.	neutral
Kwaku Ananse ärgerte sich über seine eigene Dummheit und die Worte seines Sohnes so sehr, dass er ohne zu überlegen einen Arm vom Kürbis nahm und die Hand wütend zur Faust ballte.	verärgert
Die Adresse stimmt soweit.	verwirrt
Else, seine Frau, bereits mit Ende dreißig war schon schwer vom mühseligen Leben gekennzeichnet, ging um den Tisch herum und stellte sich vor ihren Mann.	traurig
Etwas Spitzes durchbohrt meinen Rücken.	erschrocken
Der Schmerz ist unerträglich.	erschrocken
in welchem sie sich hauptsächlich aufzuhalten pflegte;	bereit
Manche hatten in der Eile auch nur ein Blatt abgerissen oder auch nur einen Suppenlöffel mitgebracht.	begeistert
Amerika braucht uns Deutsche.	vertrauend
Der Vater antwortete:	neutral
“Der Streifenwagen ist gleich bei Ihnen, beruhigen Sie sich.”, sagt er mit einer sanften Stimme.	gelassen
Mein Navi zeigt mir an, dass ich rechts auf einen Waldweg abbiegen soll. 	besorgt
ihrer Freundin unablässig zuzusprechen.	froh
Die Familie machte sich mit Sack und Pack auf nach Hamburg.	begeistert
Es durchbohrt weiter meinen Rücken.	erschrocken
Der Vater ging zum Küchentisch und setzte sich und stützte den Kopf mit den Händen ab.	traurig
Ich erreiche den äußeren Teil der Stadt, der durch große Anbauflächen und Wälder geprägt ist. 	gelassen
Meine Freunde haben mir zwei 2D Kameras gegeben, um alle meine neuen Bekanntschaften widerzuerkennen. 	froh
Da der Krug sehr groß und sehr schwer war, musste sich Kwaku Ananse ordentlich anstrengen.	besorgt
Vorsichtig setzte er ein Bein vor das andere und kletterte den schwankenden Baum hinauf.	ängstlich
Lieber will ich meine ärmliche Nahrung in Frieden genießen, als hier bei den ausgesuchtesten Speisen schwelgen und stets für mein Leben fürchten müssen.  	verärgert
Ich atme tief ein und aus.	ängstlich
Es ist unmöglich so auszusehen.	erschrocken
Kwaku Ananse band sich also den Krug vor den Bauch,	gelassen
Christian, der Sohn, unterbricht die Unterhaltung.	neutral
Ich dachte, ich hätte alle Weisheit dieser Welt in meinem Krug eingefangen,	gereizt
ahnte bereits, dass für ihn selbst kaum ein Restchen übrigbleiben würde.	traurig
So kam es, dass die Weisheit unter den Menschen so ungleich verteilt ist.	gelassen
Ich schreibe morgen an Robert.	vertrauend
dass du hier so kümmerlich dein Leben fristest, während du es in der Stadt so glänzend führen könntest wie ich.  	angewidert
Ich erkläre ihnen meine Situation und der Beamte meint, dass ein Streifenwagen auf dem Weg ist und ich mich in dem Wagen verbarrikadieren soll.	ängstlich
Ich staune, knapp 20 Kilometer entfernt.	erstaunt
Er machte sich auf den Weg, bereiste alle Länder und sammelte jedes kleinste Stückchen Weisheit ein.	vertrauend
Ich arbeitete in einem Luxushotel in Paris und begrüßte täglich Gäste aus vielen verschiedenen Ländern.	froh
Die einen haben viel davon, die anderen wenig.	traurig
Nach knapp 15 Minuten Fahrt halte ich auf der Nebenspur kurz an.	besorgt
Ein großes Einfamilienhaus im älteren Baustil, perfektes Szenario für einen Horrorfilm, denke ich mir. 	ängstlich
Ich will auch ganz hart dafür arbeiten.	vertrauend
So mühte sich Kwaku Ananse drei Tage lang vergeblich, die gesammelte Weisheit in die Äste des alten Kazaurabaumes zu bringen.	betrübt
Er entschloss sich, eine kurze Rast zu machen.	betrübt
Ich weiß wirklich nicht weiter.	traurig
Es würde ja auch niemand vermuten, dass die ganze Weisheit der Welt sich auf einem Kazaurabaum in einem Dorf befinden könnte.	nachdenklich
Einige waren bereits nach Amerika ausgewandert, weil sie sich dort eine neue Lebensperspektive versprachen.	neutral
Meine Blicke schweifen hin und her, um irgendwas ausfindig zu machen. 	neugierig
Genügsamkeit und Zufriedenheit macht glücklicher als Reichtum und Überfluss unter großen Sorgen.	vertrauend
und jetzt sehe ich, dass es immer noch klügere Leute als mich gibt.	traurig
Das ist eher unüblich.	erstaunt
Auf einmal steht eine Frau im Türrahmen gegenüber des Fensters.	erschrocken
und dort oben wäre er so versteckt, dass ihn niemand sehen könnte.	froh
bat sie, Platz zu nehmen, und legte ihr von den leckeren Speisen vor. 	vertrauend
Ich weiß wirklich nicht mehr, wie es weitergehen soll.	traurig
Ich verschließe die Türen und bleibe auf Wunsch am Handy.	ängstlich
Vater, lass uns das Angebot von Onkel Robert annehmen.	vertrauend
Der ging diesmal leer aus.	traurig
Aber die Stadtmaus, durch die vielen gewohnten Leckereien verwöhnt, beroch und benagte die Speisen nur sehr wenig	überrascht
Mein ganzer Körper erschlafft und ich höre, wie sich die Tür öffnet.	erschrocken
Da ist es wieder.	erschrocken
Um ihren Mangel der sehr verwöhnten Städterin nicht merken zu lassen, 	bereit
Hello! Bonjour! Hola! Konichiwa!	begeistert
Mein Herz rast so schnell, wie noch nie zuvor.	ängstlich
Sage mir, Vater, wenn du die ganze Weisheit der Welt in Sicherheit bringen willst, warum trägst du sie dann vor dem Bauch und nicht auf dem Rücken?	neugierig
Mir läuft ein Schauer den Rücken hinunter, wenn ich daran denke, dort entlang zu fahren.	ängstlich
Auch wenn es ein Aufbruch ins Ungewisse sein sollte.	froh
Mit Tränen gefüllten Augen schaue ich in den Rückspiegel.	erschrocken
Sie alle versuchten, so viel wie möglich von der ausfließenden Weisheit zu erwischen.	froh
Ich bin mir sicher, dass sie vorher nicht da stand.	erschrocken
Nichts hat sich geändert.	traurig
Mit großer Genugtuung überschaute sie ihre Tafel und unterließ nicht, 	froh
Dann beugte sie sich zu ihm herunter und sagte:	neutral
Mit letzter Kraft starre ich in den Rückspiegel und sehe wie sie davon läuft.	erschrocken
Mein Wagen schaukelt mit jedem Meter hin und her, dazu das Geräusch des Schotters	besorgt
Schau mal was ich kann.	begeistert
Alle Lichter sind aus.	ängstlich
In Amerika werden wir bestimmt eine Zukunft haben.	vertrauend
Trotz seiner Schmerzen und trotz seines großen Hungers, kämpfte er verbissen weiter.	gereizt
Behutsam legte Kwaku Ananse den Deckel darauf und band ihn gut fest.	achtsam
Ihre Augen… niemand kann seine Augen so weit offen halten!	erschrocken
