text	label
fuhr der Schmied hastig auf, »sie hassen die Tyrannei so gut wie ihr, sie wollen unseres Landes Freiheit so gut wie ihr, sie beten zu Gott, was ihr bittet.«	NEGATIVE
fragte der Herr Ehegatte, tückisch nach ihr hinschielend.	NEUTRAL
Seien Sie dessen  sicher, daß die siegreiche Revolution Sie zwingt, Ihr Vermögen als gestohlenes Geld wieder herauszugeben!«	NEUTRAL
Bumble die Situation; jetzt gings ums Leben, entweder ihm oder ihr mußte die Herrschaft zufallen.	POSITIVE
Wehe denen, welche böse gut und gut böse nennen, welche aus dunkel hell, aus hell dunkel, aus bitter süß und aus süß bitter machen!	NEGATIVE
Es flattern sehnsüchtig Seelen im Weltraum, beständig zwischen Paradies und Hölle auf und ab, und die Frage ist, ob ihnen ein Engel oder ein Dämon ihr irdisches Asyl anweist.	NEUTRAL
Guter Gott, Dorian, so weit bist du gekommen?	NEUTRAL
Mutter verläßt die Czika nicht; sagte das Kind, ruhig zum Baron emporblickend; Mutter ist, wo Czika ist; Mutter ist überall.	POSITIVE
Sie sind dankbar für jede gut und ehrlich gemeinte Aufklärung.	NEUTRAL
Es mag Fehler der Erziehung sein oder von dem Mord herrühren: mir kömmt es abscheulich vor, und ich werde zuverlässig mit ihr keinen Bastarden von Magus zeugen.	NEGATIVE
Clementine an Frau v. Alven.	NEUTRAL
Mama war eine Wäscherin; Papa betrank sich und trug schließlich den Tod davon.	NEUTRAL
Jetzt hatte der Herr Doctor allerdings verstanden.	NEUTRAL
– Wenn man damit die Öde der dörfischen Heimat verglich!	POSITIVE
Die Mutter hat sie es gelehrt, die Mutter ist eine Kokette, doch die Tochter wird die Mutter noch überflügeln.«	POSITIVE
Wende dieses Geld gut an!	NEUTRAL
Ein Mangel an Harmonie zwischen Mutter und Tochter sprang sofort in die Augen.	NEGATIVE
Sie haben einiges Geld bei sich – Gott mag wissen, ob's ehrlich erworben ist!	NEGATIVE
Weil er mit falschem Spiel den Teufel betrog, mußte seine Seele auch ohne Teufel zur Hölle fahren.	NEGATIVE
Gott sei Dank, daß seine Mutter nicht mehr lebe, für die wäre das der Tod gewesen.	NEGATIVE
Endlich, wenn Du auf der Sonne zu Boden fielest, so würde Dein Gewicht von ungefähr zweitausendfünfhundert Kilo Dir's unmöglich machen, wieder aufzustehen!	NEUTRAL
Als bald darauf der Krieg endlich ausbrach, kämpfte er tapfer mit für die Freiheit und Unabhängigkeit seines Vaterlandes.	POSITIVE
Doctor Welland – Sie hier?«	NEUTRAL
Nun erst kann ich sagen, Eduard, daß ich sie gesehn habe; denn wohl zwei Sekunden habe ich mit ihr auf Einer Stufe gestanden.	POSITIVE
Egon setzte nun noch hinzu:	NEUTRAL
beten Sie, daß, wenn ich einst krank und sterbend bin, Ihr Gott mich segnen möge, wie er nun Sie segnet!«	NEGATIVE
Wenn Euch der Teufel Jonathans Geld in die Hand gespielt hat, so sagt eben dem Teufel Euren Dank dafür; mein Geld aber, meins, das meinige, davon werdet Ihr Eure Hände lassen!«	NEGATIVE
Er konnte sich nicht fassen.	NEUTRAL
Vor Gott könnte er es ja auch nicht verantworten, dachte er, und wie kindlich zu Gott beten mit solcher bewußter Untreue auf dem Gewissen?	NEGATIVE
Heilige Mutter von Kasan!	NEGATIVE
Die Nachtwachen am Krankenbette ihrer Mutter und der Schmerz über den Tod nahmen sie dahin.	NEUTRAL
So schwang die Liebe in allerhöchster Freiheit ihre Flügel; jedes beeiferte sich, schön und liebenswürdig zu sein, und konnte sich weder auf Geld und Gut noch Pflicht und Schuldigkeit verlassen.	NEUTRAL
O göttlich, wo der Blitz des Genies so riesenkräftig alle elende Verhecke der alten Mutter Tugend und Moral zusammensplittert.	NEUTRAL
B'hüt dich Gott alter Schatz und grüß mir den Terkel und laß ihn nur recht schreien, daß er auch gut singen lernt.	POSITIVE
Immer hatte er auf seinen Freund Elsheim gehofft, dieser aber ward durch eine unerwartet eingetretene bedeutende Krankheit seiner Mutter auf jenem fern liegenden Gute zurückgehalten.	NEUTRAL
Tatsache: in Gegenwart der Polizei erscheint weder Dämon noch Engel	NEUTRAL
Mord ist Mord – Mord bleibt auch Mord – ob Du darüber traurig oder vergnügt bist, wird aus dem Morde nicht etwas Andres machen – Tatsachen  sind und bleiben unveranderlich.	NEGATIVE
Der schmerz über den Tod ihrer Mutter ergriff sie mit verdoppelter Gewalt; sie fühlte, wie trostlos sie in der Stadt unter Fremden seyn würde, von denen keiner ihre Mutter gekannt hatte.	NEGATIVE
»Wenn's g'fällig ist, junger Herr, so will i Ihnen etwas zeigen, worüber Sie die schönen Augen aufreißen werden.	POSITIVE
Unzählbar ist die Menge aller Derer, deren Kraft er gebrochen, deren Frieden er zerstört, deren Glück er vernichtet und deren Elend er verschuldet hat!	NEGATIVE
Denn wenn Jugend und Schönheit vergehen, wenn unser Leib dahinwelkt und der Tod naht, so bleibt die Liebe unsterblich, da unsere Seele unsterblich ist.	POSITIVE
Das letztere wäre nun durchaus überflüssig gewesen, der Herr Pastor hatte Kredit; es wurde schließlich aber doch mit dem Versprechen der Geduld im Fall eines Wartestündchens angenommen.	POSITIVE
»Mögen die Teufel Deine Mutter quälen!	NEGATIVE
Würde er die Leiche irgendwo gefunden und dann erst beraubt haben, hätte er sich bestimmt die tausend Gulden Belohnung geholt, die für die Entdeckung des Vermißten öffentlich ausgesetzt waren.	NEUTRAL
Sie begreifen also, Raden, wie es mir schmerzlich sein würde, die Harmonie dieser ganz idealistischen Jugend vielleicht durch eine große Leidenschaft gestört zu sehen.«	NEUTRAL
Consul nit alsobald, welcher  mit Eim ehrsamen Gericht hinter uns fuhr, als er dem Büttel zurief: was solches bedeute?	NEUTRAL
»Wer war's, der sich in Herrlichkeit und Pracht den Tempel der Unendlichkeit gebaut, wo Stern an Stern die Größe und die Macht des Schöpfers in dem Glanz von Sonnen schaut?	NEUTRAL
Nur ein Verbrecher und Schurke, wenn nicht ein Verrückter, hätte sie so behandeln können, wie du sie behandelt hast; folglich bist du verrückt ...«	NEUTRAL
Kein Opfer von Zeit und Kraft und Vermögen sollte ihm zu schwer werden.	NEUTRAL
– Heilige Mutter Anna!	NEGATIVE
Die Mutter wußte den Tod ihres ältesten Jungen kaum zu verwinden.	NEGATIVE
Kein Wort hatte das überfüllte Herz Leonin's erleichtert.	NEGATIVE
Dieser Schrei war nur einer Mutter Sorge um ihren Sohn.	NEGATIVE
»Meine Mutter war eine Howard und meiner Mutter Mutter eine Talbot.«	NEUTRAL
Sie sah ihre Mutter scheu und bestürzt an, wich nicht von ihrer Seite, verbarg ihre Tränen, ahnte, daß die Mutter  verrückt geworden sei, und blickte unruhig um sich.	NEUTRAL
Weil er aber kein  flüssiges Geld hatte, verpfändete er das Haus.	NEGATIVE
Aber um das zu ermöglichen ...«	NEUTRAL
Amanda hatte Geld einzukassieren, und Julian war stolz darüber, daß er ehrlich zu reden gewagt hatte.	POSITIVE
Und ein Lächeln, in dem Schmerz und Erlösung miteinander kämpften, verklärte jetzt sein Gesicht.	POSITIVE
Ob der Tod des Ertrinkens ein schwerer Tod sei?	NEGATIVE
von Kampf und  Blutvergießen um Freiheit und die Rechte der Menschheit?	NEUTRAL
Gott hat's wunderbar gut gemacht.	POSITIVE
Aber Gott zu lieben, Gott allein, Gott ausschließlich und dabei gar nicht das zerstörte Glück eines Menschenherzens zu berücksichtigen – –	NEUTRAL
Sie konnte von nichts anderem sprechen und an nichts anderes denken und mußte ihrem Gaste ihr schweres Leid erzählen.	NEUTRAL
Und dann weiß ich's nun, daß der Tod sich auch schön und süß fühlen läßt.	POSITIVE
Jeder gute Baum bringt gute Früchte, aber ein schlechter Baum bringt schlechte Früchte.	POSITIVE
»Es fehlt dieser Oper zwar der Pomp der so oft erzwungnen Französischen Chöre; aber wie jugendlich schön und blühend ist alles!«	NEUTRAL
Sie machen es ihm möglich, seinen Reichtum in Gott allein, seine Freuden in Gott allein, seinen Willen in Gott allein zu suchen und zu finden.	POSITIVE
Und nun begriff sie vollends nicht ...	NEUTRAL
Und beten heimlich zu Gott für die bedrängte Klausur.	NEGATIVE
Da Schuller hat's mir no versprechen müassen, daß er durchaus gar it streiten will.	NEUTRAL
Allbarmherziger Gott – Rettung – Rettung – –	NEGATIVE
Die Gegenschale schlägt sie hinauf; Durst nach Unabhängigkeit und Wissen, Stolz, Wollust, Groll und Bitterkeit füllen sie.	NEGATIVE
Sie ließen den  lieben Gott den lieben Gott sein, und meine Mutter war ihm aufrichtig dankbar wenn er zu ihrer großen Wäsche die Sonne scheinen ließ.	POSITIVE
So ist das Geld schließlich in Achtung angelegt!	POSITIVE
Solcher Tod ist schön – und das Leben könnte noch schmerzlich werden!	NEGATIVE
Leben und Tod schienen ihm eine und dieselbe Hymne von dem Triumph des Lichtes und der Gnade über Nacht und Sünde anzustimmen.	NEGATIVE
Das Elend suchte bei dem Elend Schutz, und das ist immer und allewege ein ander Ding, als wenn das Glück mit Lachen das Glück zum Tanz auffordert.	NEGATIVE
»Mir war die Sklaverei oder der Tod gewiß; da erbarmte Gott sich meiner in der größten Not und sandte dich, grad dich mir wieder zu.	NEUTRAL
Er wird kommen, er muß kommen und ich, ich stehe als ein Lügner, als ein Sünder da!«	NEGATIVE
Alfred betet die Freiheit an, weil er den Men schen liebt und die Freiheit schön ist; Theophil, weil sein weiches Gefühl es nicht duldet, Unglückliche zu sehen, während er glücklich ist.	NEUTRAL
Ohne Zwang bist Du erwachsen, ohne Zwang geblieben bis jetzt; schön und vollständig ist Deine Natur entwickelt, sich selbst Gesetz geworden.	POSITIVE
Seine Augen wurden wie die Augen eines gehetzten Wildes, das bei der Flucht zwischen Leben und Tod mit jagendem Blick jede Möglichkeit der Rettung und jedes mörderische Hindernis erspäht.	NEUTRAL
Klug, schön und gut wie sie ist, darf jede Mutter stolz auf solche Tochter sein.	POSITIVE
Die arme Kleine, obwohl schon entjungfert, stieß einen Schrei aus; das alte Ekel liebkoste sie, sie half schließlich so gut es ging und wurde wieder fertig.	NEGATIVE
setzte er laut hinzu.	NEUTRAL
Du weißt, daß mein Ruhm auch dein Ruhm und deine Schande auch meine Schande ist.	NEUTRAL
Alles um ein Weib!«	POSITIVE
Als der Tod mir meinen Vater entriß, und meine Mutter und Caroline nur Gleichgültigkeit gegen die Tochter und die Schwester empfanden, da warest Du mir Alles!	NEGATIVE
Dem Kaidôh wird so traurig zu Mute.	NEUTRAL
Tod der Gräfin P ... Armut ihrer Töchter.	NEUTRAL
Gott ist barmherzig; beten Sie zu Gott, gnädiger Herr, beten Sie zu Gott!«	POSITIVE
Und nun Gott Vater, Gott Sohn, Gott der heilige Geist und solches bunte Farben-Gepinsel mehr!	NEUTRAL
»Aber die Dritte – sie soll jung und schön sein, und Gott verdamm' meine Augen, wie unsere lieben Alliirten zu sagen pflegen, wir leiden hier abscheulichen Mangel an Damen.«	NEGATIVE
Soll ich den Verdacht auf mich laden, als habe ich wie ein Mörder meines Gegners Tod gewollt, zweideutig mit dem Worte Versöhnung gespielt und dem Genesenden jetzt gehässig den Rücken gewandt?	NEUTRAL
Durch sie mußt Du den Mangel einer innerlich religiösen Erziehung zu ersetzen suchen; sie hat Deiner Kindheit und Jugend gefehlt.	NEGATIVE
Meine Mutter hat sich im Gefängnis erhängt aus Verzweiflung über das  Schicksal, das du mir bereitet hast, mir, der Mutter deines Kindes!	NEGATIVE
Er war ja gut zum Sterben vorbereitet: war zur Beichte gewesen, hatte das heilige Abendmahl genossen; Gott mußte ihm seine Sünde vergeben.	POSITIVE
»Haben Sie durch wirkliche Untreue Albrecht Gelegenheit zur Scheidung gegeben?«	NEUTRAL
